Ward,GRN Candidate,ALP Candidate,LNP Candidate,GRN Votes,ALP Votes,LNP Votes,IND Votes,Formal Votes,Informal Votes,Number of Candidates,GRN%,ALP%,LNP%,IND%,informal%,Winner,Winner Party,1st Excluded,1 Party Excluded,1GRN,1ALP,1LNP,1IND,1Exhausted,1Distrubuted,1GRN%,1ALP%,1LNP%,1IND%,1exhausted%,2nd Excluded,2 Party Excluded,2GRN,2ALP,2LNP,2IND,2Exhausted,2Distrubuted,2GRN%,2ALP%,2LNP%,2IND%,2exhausted%,3rd Excluded,3 Party Excluded,3GRN,3ALP,3LNP,3IND,3Exhausted,3Distrubuted,3GRN%,3ALP%,3LNP%,3IND%,3exhausted%,TPP1 Party,TPP1 Votes,TPP2 Party,TPP2 Votes,Win Margin,Win Margin %,WARD,Hover Text
Brisbane City Bracken Ridge,"FRY, Kathryn","PALMER, Cath","LANDERS, Sandy",2929,8850,11798,0,23577,707,3,12.42,37.54,50.04,0.0,2.91,"LANDERS, Sandra Jane Marie",LNP,"FRY, Kathryn",GRN,0,1417,329,0,1183,1746,0.0,81.16,18.84,0.0,40.39,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,12127,ALP,10267,930.0,4.15,BRACKEN RIDGE,"<br><br>WARD INFO<br>Ward: Brisbane City Bracken Ridge<br>Winner: LANDERS, Sandra Jane Marie (LNP)<br>Number of Candidates: 3<br>Formal Votes: 23577<br>Informal: 707 (2.91%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 2929 (12.42%)<br>ALP: 8850 (37.54%)<br>LNP: 11798 (50.04%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: FRY, Kathryn (GRN)<br>Distributed: 1746<br>Exhausted: 1183 (40.39%)<br>GRN: 0 (0.0%)<br>ALP: 1417 (81.16%)<br>LNP: 329 (18.84%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 12127 (54.15%)<br>ALPVotes: 10267 (45.85%)<br>Win Margin: 930.0 (4.15%)<br>"
Brisbane City Calamvale,"MIRA, Josie","MARTIN, James","OWEN, Angela",2393,10316,11887,0,24596,692,3,9.73,41.94,48.33,0.0,2.74,"OWEN, Angela Carolyn",LNP,"MIRA, Josie",GRN,0,797,269,0,1327,1066,0.0,74.77,25.23,0.0,55.45,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,12156,ALP,11113,521.5,2.24,CALAMVALE,"<br><br>WARD INFO<br>Ward: Brisbane City Calamvale<br>Winner: OWEN, Angela Carolyn (LNP)<br>Number of Candidates: 3<br>Formal Votes: 24596<br>Informal: 692 (2.74%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 2393 (9.73%)<br>ALP: 10316 (41.94%)<br>LNP: 11887 (48.33%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: MIRA, Josie (GRN)<br>Distributed: 1066<br>Exhausted: 1327 (55.45%)<br>GRN: 0 (0.0%)<br>ALP: 797 (74.77%)<br>LNP: 269 (25.23%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 12156 (52.24%)<br>ALPVotes: 11113 (47.76%)<br>Win Margin: 521.5 (2.24%)<br>"
Brisbane City Central,"MASSEY, Trina","JABOUR, Judi","HOWARD, Vicki",5568,4879,9800,0,20247,418,3,27.5,24.1,48.4,0.0,2.02,"HOWARD, Vicki Jean",LNP,"JABOUR, Judi",ALP,2005,0,559,0,2315,2564,78.2,0.0,21.8,0.0,47.45,,,,,,,,,,,,,,,,,,,,,,,,,,,GRN,7573,LNP,10359,1393.0,7.77,CENTRAL,"<br><br>WARD INFO<br>Ward: Brisbane City Central<br>Winner: HOWARD, Vicki Jean (LNP)<br>Number of Candidates: 3<br>Formal Votes: 20247<br>Informal: 418 (2.02%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 5568 (27.5%)<br>ALP: 4879 (24.1%)<br>LNP: 9800 (48.4%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: JABOUR, Judi (ALP)<br>Distributed: 2564<br>Exhausted: 2315 (47.45%)<br>GRN: 2005 (78.2%)<br>ALP: 0 (0.0%)<br>LNP: 559 (21.8%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>GRNVotes: 7573 (42.23%)<br>LNPVotes: 10359 (57.77%)<br>Win Margin: 1393.0 (7.77%)<br>"
Brisbane City Chandler,"MOSS, Steph","O'NEILL, Penny","MURPHY, Ryan",2604,6167,15516,0,24287,581,3,10.72,25.39,63.89,0.0,2.34,"MURPHY, Ryan MacKenzie",LNP,"MOSS, Steph",GRN,0,1140,248,0,1216,1388,0.0,82.13,17.87,0.0,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,7307,LNP,15764,4228.5,18.33,CHANDLER,"<br><br>WARD INFO<br>Ward: Brisbane City Chandler<br>Winner: MURPHY, Ryan MacKenzie (LNP)<br>Number of Candidates: 3<br>Formal Votes: 24287<br>Informal: 581 (2.34%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 2604 (10.72%)<br>ALP: 6167 (25.39%)<br>LNP: 15516 (63.89%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: MOSS, Steph (GRN)<br>Distributed: 1388<br>Exhausted: 1216 (46.7%)<br>GRN: 0 (0.0%)<br>ALP: 1140 (82.13%)<br>LNP: 248 (17.87%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 7307 (31.67%)<br>LNPVotes: 15764 (68.33%)<br>Win Margin: 4228.5 (18.33%)<br>"
Brisbane City Coorparoo,"DILLON, Sally","CAMPBELL, Matt","CUNNINGHAM, Fiona",6509,6484,10575,0,23568,476,3,27.62,27.51,44.87,0.0,1.98,"CUNNINGHAM, Fiona Joy",LNP,"CAMPBELL, Matt",ALP,2521,0,763,0,3200,3284,76.77,0.0,23.23,0.0,49.35,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,11338,GRN,9030,1154.0,5.67,COORPAROO,"<br><br>WARD INFO<br>Ward: Brisbane City Coorparoo<br>Winner: CUNNINGHAM, Fiona Joy (LNP)<br>Number of Candidates: 3<br>Formal Votes: 23568<br>Informal: 476 (1.98%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 6509 (27.62%)<br>ALP: 6484 (27.51%)<br>LNP: 10575 (44.87%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: CAMPBELL, Matt (ALP)<br>Distributed: 3284<br>Exhausted: 3200 (49.35%)<br>GRN: 2521 (76.77%)<br>ALP: 0 (0.0%)<br>LNP: 763 (23.23%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 11338 (55.67%)<br>GRNVotes: 9030 (44.33%)<br>Win Margin: 1154.0 (5.67%)<br>"
Brisbane City Deagon,"WALSH, Anthony","CASSIDY, Jared","WASHINGTON, Kimberley",2935,13127,8919,586,25567,688,4,11.48,51.34,34.88,2.29,2.62,"CASSIDY, Jared Ryan",ALP,"MOLONEY, Kathy",IND,86,77,82,0,341,245,35.1,31.43,33.47,0.0,58.19,"WALSH, Anthony",GRN,0,1614,283,0,1124,1897,0.0,85.08,14.92,0.0,37.21,,,,,,,,,,,,,,ALP,14818,LNP,9284,2767.0,11.48,DEAGON,"<br><br>WARD INFO<br>Ward: Brisbane City Deagon<br>Winner: CASSIDY, Jared Ryan (ALP)<br>Number of Candidates: 4<br>Formal Votes: 25567<br>Informal: 688 (2.62%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 2935 (11.48%)<br>ALP: 13127 (51.34%)<br>LNP: 8919 (34.88%)<br>IND: 586 (2.29%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: MOLONEY, Kathy (IND)<br>Distributed: 245<br>Exhausted: 341 (58.19%)<br>GRN: 86 (35.1%)<br>ALP: 77 (31.43%)<br>LNP: 82 (33.47%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 2<br>Excluded: WALSH, Anthony (GRN)<br>Distributed: 1897<br>Exhausted: 1124 (37.21%)<br>GRN: 0 (0.0%)<br>ALP: 1614 (85.08%)<br>LNP: 283 (14.92%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 14818 (61.48%)<br>LNPVotes: 9284 (38.52%)<br>Win Margin: 2767.0 (11.48%)<br>"
Brisbane City Doboy,,"CULSHAW, Jo","ATWOOD, Lisa",0,10379,12549,0,22928,661,2,0.0,45.27,54.73,0.0,2.8,"ATWOOD, Lisa Maree",LNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,12549,ALP,10379,1085.0,4.73,DOBOY,"<br><br>WARD INFO<br>Ward: Brisbane City Doboy<br>Winner: ATWOOD, Lisa Maree (LNP)<br>Number of Candidates: 2<br>Formal Votes: 22928<br>Informal: 661 (2.8%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 0 (0.0%)<br>ALP: 10379 (45.27%)<br>LNP: 12549 (54.73%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 12549 (54.73%)<br>ALPVotes: 10379 (45.27%)<br>Win Margin: 1085.0 (4.73%)<br>"
Brisbane City Enoggera,"ACKERMAN, Ell-Leigh","BUSH, Jonty","WINES, Andrew",3821,8169,10703,1032,23725,517,5,16.11,34.43,45.11,4.35,2.13,"WINES, Andrew Robert",LNP,"PERISSINOTTO, Kristin",IND,58,60,16,53,200,187,31.02,32.09,8.56,28.34,51.68,"WHITEMAN, Craig",IND,80,102,108,0,408,290,27.59,35.17,37.24,0.0,58.45,"ACKERMAN, Ell-Leigh",GRN,0,1994,283,0,1682,2277,0.0,87.57,12.43,0.0,42.49,ALP,10325,LNP,11110,392.5,1.83,FOREST LAKE,"<br><br>WARD INFO<br>Ward: Brisbane City Enoggera<br>Winner: WINES, Andrew Robert (LNP)<br>Number of Candidates: 5<br>Formal Votes: 23725<br>Informal: 517 (2.13%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 3821 (16.11%)<br>ALP: 8169 (34.43%)<br>LNP: 10703 (45.11%)<br>IND: 1032 (4.35%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: PERISSINOTTO, Kristin (IND)<br>Distributed: 187<br>Exhausted: 200 (51.68%)<br>GRN: 58 (31.02%)<br>ALP: 60 (32.09%)<br>LNP: 16 (8.56%)<br>IND: 53 (28.34%)<br>------------------------<br>PREFERENCE FLOW 2<br>Excluded: WHITEMAN, Craig (IND)<br>Distributed: 290<br>Exhausted: 408 (58.45%)<br>GRN: 80 (27.59%)<br>ALP: 102 (35.17%)<br>LNP: 108 (37.24%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 3<br>Excluded: ACKERMAN, Ell-Leigh (GRN)<br>Distributed: 2277<br>Exhausted: 1682 (42.49%)<br>GRN: 0 (0.0%)<br>ALP: 1994 (87.57%)<br>LNP: 283 (12.43%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 10325 (48.17%)<br>LNPVotes: 11110 (51.83%)<br>Win Margin: 392.5 (1.83%)<br>"
Brisbane City Forest Lake,"MULKEARNS, Jenny","STRUNK, Charles","HOOPER, Roger",3920,12667,7399,0,23986,1044,3,16.34,52.81,30.85,0.0,4.17,"STRUNK, Charles Dean",ALP,"MULKEARNS, Jenny",GRN,0,1304,673,0,1943,1977,0.0,65.96,34.04,0.0,49.57,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,8072,ALP,13971,2949.5,13.38,HAMILTON,"<br><br>WARD INFO<br>Ward: Brisbane City Forest Lake<br>Winner: STRUNK, Charles Dean (ALP)<br>Number of Candidates: 3<br>Formal Votes: 23986<br>Informal: 1044 (4.17%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 3920 (16.34%)<br>ALP: 12667 (52.81%)<br>LNP: 7399 (30.85%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: MULKEARNS, Jenny (GRN)<br>Distributed: 1977<br>Exhausted: 1943 (49.57%)<br>GRN: 0 (0.0%)<br>ALP: 1304 (65.96%)<br>LNP: 673 (34.04%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 8072 (36.62%)<br>ALPVotes: 13971 (63.38%)<br>Win Margin: 2949.5 (13.38%)<br>"
Brisbane City Hamilton,"BERTRAM, Miranda","MALZARD, Leah","MCLACHLAN, David",3632,4389,14101,0,22122,519,3,16.42,19.84,63.74,0.0,2.29,"MCLACHLAN, David Charles Burnett",LNP,"BERTRAM, Miranda",GRN,0,1677,370,0,1585,2047,0.0,81.92,18.08,0.0,43.64,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,14471,ALP,6066,4202.5,20.46,JAMBOREE,"<br><br>WARD INFO<br>Ward: Brisbane City Hamilton<br>Winner: MCLACHLAN, David Charles Burnett (LNP)<br>Number of Candidates: 3<br>Formal Votes: 22122<br>Informal: 519 (2.29%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 3632 (16.42%)<br>ALP: 4389 (19.84%)<br>LNP: 14101 (63.74%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: BERTRAM, Miranda (GRN)<br>Distributed: 2047<br>Exhausted: 1585 (43.64%)<br>GRN: 0 (0.0%)<br>ALP: 1677 (81.92%)<br>LNP: 370 (18.08%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 14471 (70.46%)<br>ALPVotes: 6066 (29.54%)<br>Win Margin: 4202.5 (20.46%)<br>"
Brisbane City Holland Park,"GAMBLE, Jenny","AUGUSTON, Karleigh","ADAMS, Krista",4975,7323,11553,0,23851,580,3,20.86,30.7,48.44,0.0,2.37,"ADAMS, Krista Mary",LNP,"GAMBLE, Jenny",GRN,0,2601,439,0,1935,3040,0.0,85.56,14.44,0.0,38.89,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,9924,LNP,11992,1034.0,4.72,MCDOWALL,"<br><br>WARD INFO<br>Ward: Brisbane City Holland Park<br>Winner: ADAMS, Krista Mary (LNP)<br>Number of Candidates: 3<br>Formal Votes: 23851<br>Informal: 580 (2.37%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 4975 (20.86%)<br>ALP: 7323 (30.7%)<br>LNP: 11553 (48.44%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: GAMBLE, Jenny (GRN)<br>Distributed: 3040<br>Exhausted: 1935 (38.89%)<br>GRN: 0 (0.0%)<br>ALP: 2601 (85.56%)<br>LNP: 439 (14.44%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 9924 (45.28%)<br>LNPVotes: 11992 (54.72%)<br>Win Margin: 1034.0 (4.72%)<br>"
Brisbane City Jamboree,"MCKIE, Thomas","HOPPE, Rachel","HUTTON, Sarah",3039,7996,13455,0,24490,750,3,12.41,32.65,54.94,0.0,2.97,"HUTTON, Sarah Mary",LNP,"MCKIE, Thomas",GRN,0,1446,309,0,1284,1755,0.0,82.39,17.61,0.0,42.25,,,,,,,,,,,,,,,,,,,,,,,,,,,LNP,13764,ALP,9442,2161.0,9.31,MACGREGOR,"<br><br>WARD INFO<br>Ward: Brisbane City Jamboree<br>Winner: HUTTON, Sarah Mary (LNP)<br>Number of Candidates: 3<br>Formal Votes: 24490<br>Informal: 750 (2.97%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 3039 (12.41%)<br>ALP: 7996 (32.65%)<br>LNP: 13455 (54.94%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: MCKIE, Thomas (GRN)<br>Distributed: 1755<br>Exhausted: 1284 (42.25%)<br>GRN: 0 (0.0%)<br>ALP: 1446 (82.39%)<br>LNP: 309 (17.61%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>LNPVotes: 13764 (59.31%)<br>ALPVotes: 9442 (40.69%)<br>Win Margin: 2161.0 (9.31%)<br>"
Brisbane City McDowall,"SANDERSON, Joshua","CULVERHOUSE, Liam","DAVIS, Tracy",2754,7380,14693,0,24827,580,3,11.09,29.73,59.18,0.0,2.28,"DAVIS, Tracy Ellen",LNP,"SANDERSON, Joshua",GRN,0,1231,313,0,1210,1544,0.0,79.73,20.27,0.0,43.94,,,,,,,,,,,,,,,,,,,,,,,,,,,ALP,8611,LNP,15006,3197.5,13.54,MOOROOKA,"<br><br>WARD INFO<br>Ward: Brisbane City McDowall<br>Winner: DAVIS, Tracy Ellen (LNP)<br>Number of Candidates: 3<br>Formal Votes: 24827<br>Informal: 580 (2.28%)<br>------------------------<br>PRIMARY VOTES <br>GRN: 2754 (11.09%)<br>ALP: 7380 (29.73%)<br>LNP: 14693 (59.18%)<br>IND: 0 (0.0%)<br>------------------------<br>PREFERENCE FLOW 1<br>Excluded: SANDERSON, Joshua (GRN)<br>Distributed: 1544<br>Exhausted: 1210 (43.94%)<br>GRN: 0 (0.0%)<br>ALP: 1231 (79.73%)<br>LNP: 313 (20.27%)<br>IND: 0 (0.0%)<br>------------------------<br>TWO PARTY PREFERRED<br>ALPVotes: 8611 (36.46%)<br>LNPVotes: 15006 (63.54%)<br>Win Margin: 3197.5 (13.54%)<br>"
